student_id,name,age,gender,batch,domain,attendance_pct,assignment_score,project_score,quiz_score,mock_interview_score,communication_score,hackathons_participated,github_commits,certifications,internship_during_course,backlogs,placement_status,salary_lpa,company_tier
STU00001,Vaibhav Patel,27,Male,2022,Data Science,87.8,83.1,68.6,74.8,4.9,6.1,1,168,0,1,1,Job,6.78,Tier 2
STU00002,Arjun Varma,21,Female,2023,Cybersecurity,72.0,59.2,38.8,61.6,6.4,4.0,0,51,1,0,0,Job,5.69,Tier 3
STU00003,Rajni Kapoor,21,Male,2022,Cybersecurity,61.9,63.1,62.9,50.9,10.0,7.2,0,187,2,0,0,Job,7.05,Tier 1
STU00004,Vaibhav Jain,23,Male,2022,DevOps,76.9,74.2,81.2,56.1,7.9,6.1,0,208,3,0,2,No Job,,
STU00005,Sara Dubey,24,Male,2022,Cybersecurity,72.1,81.1,72.9,79.4,4.8,3.7,2,161,0,1,2,Job,6.59,Tier 3
STU00006,Ritesh Kumar,27,Female,2024,DevOps,92.5,66.4,64.7,74.9,4.0,7.1,5,101,0,0,0,Internship,1.67,Tier 2
STU00007,Tushar Srivastava,19,Female,2024,Figma Designer,87.9,68.9,91.9,63.9,6.4,7.9,3,155,4,1,0,No Job,,
STU00008,Deepika Bansal,26,Male,2024,Data Science,84.1,91.6,75.4,86.6,5.2,5.0,0,110,1,1,0,No Job,,
STU00009,Bhavna Arora,22,Male,2023,Data Science,78.3,74.3,83.1,69.3,4.6,5.6,0,166,0,1,0,Job,6.76,Tier 2
STU00010,Seema Verma,25,Male,2023,Data Science,75.4,61.6,51.3,88.0,9.4,6.8,2,133,0,1,3,No Job,,
STU00011,Harsh Singh,24,Male,2023,Cybersecurity,75.3,77.4,88.0,71.5,2.2,4.9,0,189,2,0,0,No Job,,
STU00012,Abhinav Kapoor,24,Male,2022,Cybersecurity,57.5,49.5,53.8,67.9,7.1,6.0,3,93,2,0,1,No Job,,
STU00013,Isha Dutta,25,Male,2024,Figma Designer,78.0,73.8,77.5,75.6,9.3,6.5,3,116,0,0,0,Job,3.71,Tier 3
STU00014,Nikhil Kaur,22,Female,2023,Cybersecurity,68.5,59.3,53.8,55.1,3.7,7.4,2,146,0,0,0,No Job,,
STU00015,Vikas Malhotra,24,Female,2023,DevOps,77.0,83.6,79.7,82.2,5.0,6.2,1,139,0,0,1,Job,6.14,Tier 2
STU00016,Maya Mishra,21,Male,2023,Figma Designer,78.6,63.6,66.5,62.8,5.2,7.0,5,81,1,1,0,Internship,1.88,Tier 2
STU00017,Nikita Trivedi,23,Male,2023,MERN,72.2,41.8,32.3,39.0,8.7,5.9,1,72,2,1,0,No Job,,
STU00018,Sneha Goyal,20,Female,2024,QA,89.2,74.0,65.9,71.0,5.7,6.4,5,121,1,1,0,No Job,,
STU00019,Arjun Verma,21,Female,2023,DevOps,65.1,57.4,63.4,55.0,9.5,6.7,3,150,0,1,3,No Job,,
STU00020,Naman Bansal,27,Male,2023,Cybersecurity,72.1,65.8,57.0,64.3,7.3,2.5,0,97,1,0,0,Job,5.54,Tier 2
STU00021,Uday Chawla,24,Female,2023,Cybersecurity,74.1,75.0,74.6,70.0,5.2,5.2,3,151,0,0,0,No Job,,
STU00022,Ayush Desai,21,Male,2024,Cybersecurity,91.9,68.3,65.6,64.2,3.8,7.9,1,132,0,0,0,No Job,,
STU00023,Karishma Iyer,20,Male,2023,Data Science,78.4,64.3,72.1,54.3,4.0,3.2,2,135,2,1,2,No Job,,
STU00024,Akash Malhotra,23,Male,2023,DevOps,77.8,71.6,68.1,80.7,7.0,6.8,0,114,2,0,0,No Job,,
STU00025,Nitin Garg,23,Female,2022,DevOps,88.4,71.4,98.6,67.7,10.0,8.3,0,226,1,0,0,Job,5.77,Tier 1
STU00026,Zara Desai,19,Male,2024,QA,71.7,68.7,44.5,68.9,4.9,7.9,2,99,1,0,0,Job,3.0,Tier 2
STU00027,Shreya Arora,21,Female,2022,DevOps,88.5,83.5,68.9,74.3,4.6,7.4,5,139,0,1,3,No Job,,
STU00028,Sandeep Nair,25,Male,2023,Figma Designer,82.8,74.8,80.5,66.6,7.0,8.8,0,159,1,0,2,Job,4.53,Tier 3
STU00029,Vishal Chawla,27,Male,2024,DevOps,92.9,91.7,86.4,83.6,5.4,8.0,1,171,2,0,1,Job,5.82,Tier 1
STU00030,Kunal Chopra,23,Female,2024,DevOps,73.5,59.6,67.0,74.8,5.0,5.6,1,111,1,1,0,Job,6.74,Tier 1
STU00031,Manish Shah,22,Male,2023,QA,74.5,63.9,26.2,47.9,8.6,7.3,4,25,1,1,0,Job,4.54,Tier 3
STU00032,Rohan Gupta,21,Male,2024,DevOps,79.7,87.8,79.3,68.2,8.6,4.1,1,162,1,1,3,No Job,,
STU00033,Kabir Srivastava,27,Male,2022,Figma Designer,77.3,64.0,64.9,60.3,6.3,7.7,4,145,1,1,0,No Job,,
STU00034,Akash Arora,25,Female,2024,Cybersecurity,87.2,100.0,97.3,79.1,4.6,6.1,5,210,1,1,0,No Job,,
STU00035,Amar Trivedi,25,Male,2023,DevOps,75.4,79.9,80.2,94.1,6.5,7.8,4,191,1,1,0,No Job,,
STU00036,Akash Patel,26,Male,2023,Data Science,65.3,56.0,59.4,54.9,7.6,6.6,2,143,0,1,0,Internship,1.42,Tier 3
STU00037,Parth Iyer,19,Male,2024,MERN,94.3,87.4,80.0,83.6,8.2,7.7,0,147,0,0,2,Job,5.64,Tier 2
STU00038,Shreya Verma,22,Female,2024,MERN,100.0,88.0,66.5,76.4,7.8,6.4,2,210,4,0,0,Job,4.45,Tier 3
STU00039,Jatin Dixit,23,Male,2022,QA,59.2,46.0,56.3,26.5,1.1,5.8,2,164,1,1,3,No Job,,
STU00040,Pankaj Sharma,23,Male,2024,Data Science,83.8,90.7,82.0,76.9,6.7,6.7,4,134,2,0,0,No Job,,
STU00041,Anushka Rao,19,Male,2022,Data Science,87.0,85.4,74.6,65.8,7.2,3.9,2,157,2,0,0,Internship,2.48,Tier 2
STU00042,Manisha Ghosh,21,Female,2024,Data Science,80.9,88.3,81.7,82.7,7.5,6.0,1,141,1,1,2,Internship,1.87,Tier 2
STU00043,Rajni Garg,20,Male,2023,Data Science,96.9,93.6,81.2,79.9,6.4,5.5,0,138,1,0,0,No Job,,
STU00044,Sara Srivastava,25,Male,2022,MERN,61.9,65.6,48.6,57.0,5.9,4.1,1,88,2,0,0,Job,5.09,Tier 2
STU00045,Sanjana Goyal,23,Female,2023,Figma Designer,71.2,78.5,82.8,71.9,5.3,5.2,2,201,1,1,0,Internship,0.98,Tier 1
STU00046,Vinay Iyer,21,Female,2023,QA,79.3,59.2,83.9,56.2,4.4,4.3,1,134,2,0,2,Job,4.44,Tier 2
STU00047,Vishal Kumar,26,Female,2023,Cybersecurity,89.0,98.2,92.1,96.0,4.7,3.9,1,254,4,1,2,No Job,,
STU00048,Divya Malhotra,19,Male,2022,QA,92.5,88.0,85.1,84.8,8.3,5.3,0,188,1,1,1,Job,5.15,Tier 2
STU00049,Nitin Yadav,19,Female,2022,MERN,63.5,43.6,68.5,67.7,7.1,7.0,3,97,1,0,1,No Job,,
STU00050,Khushi Patel,24,Female,2024,Figma Designer,56.7,44.1,73.7,57.9,7.3,4.0,0,165,2,0,0,Job,4.64,Tier 2
STU00051,Arjun Yadav,19,Male,2022,Data Science,87.4,80.3,74.1,79.1,4.8,6.1,1,132,2,0,0,No Job,,
STU00052,Prachi Malhotra,22,Male,2023,MERN,79.4,63.7,55.9,69.4,6.8,6.5,1,95,0,1,0,Job,5.79,Tier 2
STU00053,Rajesh Desai,24,Male,2023,DevOps,80.0,78.2,80.0,80.2,9.1,6.0,5,190,3,0,0,No Job,,
STU00054,Seema Agarwal,19,Female,2022,Data Science,87.6,67.7,69.3,48.0,6.0,7.5,4,140,3,1,0,No Job,,
STU00055,Vikas Chopra,27,Male,2023,Cybersecurity,68.3,53.3,68.9,61.8,7.2,10.0,2,128,1,0,0,Job,5.94,Tier 2
STU00056,Seema Dubey,22,Male,2023,MERN,75.1,64.7,65.3,48.1,4.9,8.7,1,139,1,0,1,No Job,,
STU00057,Sahil Chopra,27,Male,2023,QA,84.3,100.0,90.9,67.9,5.1,5.2,1,145,1,0,3,Job,4.93,Tier 2
STU00058,Jyoti Shah,27,Female,2023,DevOps,66.6,54.0,46.3,46.0,6.3,4.8,0,93,0,0,0,No Job,,
STU00059,Isha Bhatt,24,Male,2023,Data Science,71.5,80.5,88.6,76.9,4.5,5.5,0,233,0,0,1,No Job,,
STU00060,Vidya Sinha,25,Female,2023,Cybersecurity,79.3,65.0,57.9,51.2,4.5,7.0,3,60,2,1,0,Job,5.68,Tier 2
STU00061,Khushi Nair,19,Female,2024,MERN,84.3,74.7,58.0,75.6,5.5,6.3,2,125,1,0,0,Job,6.34,Tier 2
STU00062,Amit Desai,23,Male,2022,DevOps,60.6,62.6,32.0,79.0,6.2,6.3,3,72,1,0,0,No Job,,
STU00063,Rajni Dutta,21,Female,2024,Data Science,86.0,76.0,72.0,68.3,4.7,6.3,3,139,0,1,2,Internship,2.08,Tier 3
STU00064,Jatin Reddy,24,Male,2023,Cybersecurity,83.2,75.5,64.3,73.1,6.1,6.3,0,50,1,1,0,No Job,,
STU00065,Manisha Khanna,22,Female,2024,Cybersecurity,67.9,69.1,65.6,59.9,3.8,6.6,1,116,1,0,0,No Job,,
STU00066,Pankaj Kumar,27,Female,2023,MERN,100.0,70.1,63.2,55.3,6.1,7.6,2,144,1,0,0,Job,5.74,Tier 2
STU00067,Kajal Shah,25,Female,2023,Figma Designer,66.6,63.6,60.1,61.4,2.4,6.7,3,165,0,1,1,Internship,0.8,Tier 3
STU00068,Kunal Srivastava,22,Male,2024,QA,86.8,76.5,63.7,63.9,7.7,4.6,3,110,3,1,0,No Job,,
