student_id,name,age,gender,batch,domain,attendance_pct,assignment_score,project_score,quiz_score,mock_interview_score,communication_score,hackathons_participated,github_commits,certifications,internship_during_course,backlogs,placement_status,salary_lpa,company_tier
STU00001,Vaibhav Patel,27,Male,2022,Data Science,76.4,64.6,63.1,60.4,5.9,5.1,2,107,2,0,0,Job,7.99,Tier 2
STU00002,Arjun Varma,21,Female,2023,Cybersecurity,54.6,33.5,36.8,42.3,3.1,4.2,0,43,0,0,0,No Job,0.0,Not Placed
STU00003,Rajni Kapoor,21,Male,2022,Cybersecurity,52.2,33.1,20.0,47.3,4.0,3.5,4,58,4,0,3,No Job,0.0,Not Placed
STU00004,Vaibhav Jain,23,Male,2022,DevOps,66.0,58.9,40.3,60.3,4.8,4.4,4,101,3,0,2,No Job,0.0,Not Placed
STU00005,Sara Dubey,24,Male,2022,Cybersecurity,67.8,48.3,44.5,40.6,2.9,4.3,2,75,2,0,0,Job,6.36,Tier 2
STU00006,Ritesh Kumar,27,Female,2024,DevOps,68.7,70.1,77.9,62.8,7.0,6.9,1,136,2,1,0,Job,7.59,Tier 2
STU00007,Tushar Srivastava,19,Female,2024,Figma Designer,67.9,77.9,66.7,70.4,7.0,6.2,1,156,0,1,0,No Job,0.0,Not Placed
STU00008,Deepika Bansal,26,Male,2024,Data Science,79.7,62.6,62.8,57.5,4.9,5.2,0,87,0,1,0,Job,7.45,Tier 2
STU00009,Bhavna Arora,22,Male,2023,Data Science,66.6,61.5,51.8,49.4,4.7,5.7,0,93,1,1,0,No Job,0.0,Not Placed
STU00010,Seema Verma,25,Male,2023,Data Science,57.7,43.6,61.4,60.1,5.1,5.5,1,128,2,0,3,No Job,0.0,Not Placed
STU00011,Harsh Singh,24,Male,2023,Cybersecurity,67.1,60.1,48.3,37.2,3.9,5.4,1,135,2,1,0,Job,6.41,Tier 2
STU00012,Abhinav Kapoor,24,Male,2022,Cybersecurity,41.9,24.8,26.8,29.1,2.8,3.5,1,11,1,0,1,No Job,0.0,Not Placed
STU00013,Isha Dutta,25,Male,2024,Figma Designer,66.2,58.4,55.2,66.7,5.2,5.5,3,164,1,0,3,No Job,0.0,Not Placed
STU00014,Nikhil Kaur,22,Female,2023,Cybersecurity,53.0,36.8,29.5,29.7,4.8,4.4,1,77,0,0,3,No Job,0.0,Not Placed
STU00015,Vikas Malhotra,24,Female,2023,DevOps,71.6,57.2,53.8,48.8,4.9,4.8,4,167,3,0,0,Internship,1.2,Tier 3
STU00016,Maya Mishra,21,Male,2023,Figma Designer,60.4,54.8,50.2,50.2,5.5,5.8,0,54,1,0,0,No Job,0.0,Not Placed
STU00017,Nikita Trivedi,23,Male,2023,MERN,44.2,32.4,28.6,51.1,4.2,5.6,0,51,0,1,0,No Job,0.0,Not Placed
STU00018,Sneha Goyal,20,Female,2024,QA,71.6,65.9,66.6,65.3,6.2,5.4,1,142,2,0,0,Job,5.3,Tier 3
STU00019,Arjun Verma,21,Female,2023,DevOps,50.2,37.8,27.0,49.4,4.0,6.2,3,44,0,0,0,No Job,0.0,Not Placed
STU00020,Naman Bansal,27,Male,2023,Cybersecurity,58.6,42.0,38.7,48.6,2.2,3.7,0,43,4,1,1,No Job,0.0,Not Placed
STU00021,Uday Chawla,24,Female,2023,Cybersecurity,65.1,52.2,44.3,45.1,4.0,4.8,1,51,1,0,0,Job,6.76,Tier 2
STU00022,Ayush Desai,21,Male,2024,Cybersecurity,69.5,69.6,68.6,61.2,7.4,6.9,0,116,1,1,0,Job,7.04,Tier 2
STU00023,Karishma Iyer,20,Male,2023,Data Science,60.6,57.2,44.5,45.9,3.2,5.5,2,105,0,0,0,No Job,0.0,Not Placed
STU00024,Akash Malhotra,23,Male,2023,DevOps,64.8,53.7,57.9,56.1,5.3,4.3,0,149,1,0,1,Internship,1.3,Tier 3
STU00025,Nitin Garg,23,Female,2022,DevOps,69.7,81.6,70.1,87.5,7.3,6.3,1,136,1,0,0,Job,7.91,Tier 2
STU00026,Zara Desai,19,Male,2024,QA,60.2,35.0,37.8,36.9,5.4,6.0,3,67,1,0,0,No Job,0.0,Not Placed
STU00027,Shreya Arora,21,Female,2022,DevOps,77.0,65.5,63.7,60.3,6.8,5.9,0,119,0,0,0,Job,6.98,Tier 2
STU00028,Sandeep Nair,25,Male,2023,Figma Designer,69.1,65.5,56.0,64.1,7.0,4.3,4,92,1,0,0,Internship,2.06,Tier 3
STU00029,Vishal Chawla,27,Male,2024,DevOps,84.0,78.6,75.7,71.3,7.6,5.2,1,164,3,1,0,Internship,2.43,Tier 3
STU00030,Kunal Chopra,23,Female,2024,DevOps,55.5,49.3,52.9,42.9,4.2,5.8,0,86,2,0,2,Job,5.92,Tier 2
STU00031,Manish Shah,22,Male,2023,QA,58.6,29.7,26.4,52.0,5.3,4.6,0,32,1,0,2,No Job,0.0,Not Placed
STU00032,Rohan Gupta,21,Male,2024,DevOps,75.4,59.8,45.9,65.7,3.9,5.3,1,111,2,0,1,No Job,0.0,Not Placed
STU00033,Kabir Srivastava,27,Male,2022,Figma Designer,60.0,52.3,46.0,52.5,5.8,5.4,5,145,2,0,0,No Job,0.0,Not Placed
STU00034,Akash Arora,25,Female,2024,Cybersecurity,87.4,76.8,62.1,62.4,5.9,3.6,1,105,0,0,3,Job,8.13,Tier 1
STU00035,Amar Trivedi,25,Male,2023,DevOps,68.6,56.0,61.6,52.6,5.7,5.9,1,122,3,1,0,No Job,0.0,Not Placed
STU00036,Akash Patel,26,Male,2023,Data Science,49.5,36.2,27.2,41.9,4.0,5.8,0,25,1,0,3,No Job,0.0,Not Placed
STU00037,Parth Iyer,19,Male,2024,MERN,82.1,77.5,78.8,83.1,7.5,6.2,0,141,2,0,0,Job,6.83,Tier 2
STU00038,Shreya Verma,22,Female,2024,MERN,85.9,78.8,81.2,88.1,7.4,7.0,0,147,3,1,0,Job,7.56,Tier 2
STU00039,Jatin Dixit,23,Male,2022,QA,40.6,28.5,20.0,15.0,2.9,4.3,0,51,3,1,1,No Job,0.0,Not Placed
STU00040,Pankaj Sharma,23,Male,2024,Data Science,79.1,65.7,57.1,63.9,5.9,5.3,1,107,4,0,0,Internship,1.55,Tier 3
STU00041,Anushka Rao,19,Male,2022,Data Science,77.4,66.3,55.5,69.0,4.5,6.9,0,93,2,1,2,No Job,0.0,Not Placed
STU00042,Manisha Ghosh,21,Female,2024,Data Science,76.3,62.4,58.1,63.4,5.2,5.9,1,104,2,0,0,Internship,1.18,Tier 2
STU00043,Rajni Garg,20,Male,2023,Data Science,87.0,80.5,77.3,79.5,6.5,7.9,1,125,1,1,1,Job,8.76,Tier 1
STU00044,Sara Srivastava,25,Male,2022,MERN,53.7,25.7,20.0,28.8,2.1,2.8,0,74,1,0,2,No Job,0.0,Not Placed
STU00045,Sanjana Goyal,23,Female,2023,Figma Designer,65.8,52.5,41.0,43.0,3.7,5.0,2,124,1,1,2,No Job,0.0,Not Placed
STU00046,Vinay Iyer,21,Female,2023,QA,58.1,64.8,51.8,50.6,4.0,5.7,4,138,1,0,0,Job,5.09,Tier 3
STU00047,Vishal Kumar,26,Female,2023,Cybersecurity,86.1,76.1,76.5,64.0,4.7,6.8,0,97,1,1,0,Job,7.8,Tier 2
STU00048,Divya Malhotra,19,Male,2022,QA,81.5,77.9,77.6,81.8,5.9,6.3,0,116,0,1,0,Job,6.25,Tier 2
STU00049,Nitin Yadav,19,Female,2022,MERN,41.2,40.0,41.2,39.2,4.0,3.2,1,18,2,0,2,No Job,0.0,Not Placed
STU00050,Khushi Patel,24,Female,2024,Figma Designer,40.0,35.1,25.0,32.3,1.5,2.1,1,8,2,0,2,No Job,0.0,Not Placed
STU00051,Arjun Yadav,19,Male,2022,Data Science,74.5,67.1,67.8,60.2,5.9,5.5,2,127,2,0,0,Job,7.94,Tier 2
STU00052,Prachi Malhotra,22,Male,2023,MERN,60.8,50.4,54.1,55.6,5.3,4.7,2,84,1,1,2,Job,6.12,Tier 2
STU00053,Rajesh Desai,24,Male,2023,DevOps,69.8,61.5,59.6,68.6,5.1,5.0,1,129,2,1,0,Job,6.79,Tier 2
STU00054,Seema Agarwal,19,Female,2022,Data Science,67.1,66.4,51.8,65.2,6.7,5.8,1,124,1,0,0,No Job,0.0,Not Placed
STU00055,Vikas Chopra,27,Male,2023,Cybersecurity,49.3,44.8,39.5,45.6,6.8,3.2,2,90,1,0,0,No Job,0.0,Not Placed
STU00056,Seema Dubey,22,Male,2023,MERN,59.4,49.9,33.9,44.3,6.2,4.0,4,122,0,1,0,No Job,0.0,Not Placed
STU00057,Sahil Chopra,27,Male,2023,QA,89.8,71.7,49.3,60.0,5.1,5.3,1,88,0,0,0,Internship,1.24,Tier 2
STU00058,Jyoti Shah,27,Female,2023,DevOps,48.9,31.4,21.6,36.5,3.0,4.6,0,29,2,0,1,No Job,0.0,Not Placed
STU00059,Isha Bhatt,24,Male,2023,Data Science,67.1,55.5,44.9,41.3,3.9,4.1,1,57,3,1,0,No Job,0.0,Not Placed
STU00060,Vidya Sinha,25,Female,2023,Cybersecurity,61.5,51.0,40.9,46.7,5.6,5.7,2,138,1,1,3,No Job,0.0,Not Placed
STU00061,Khushi Nair,19,Female,2024,MERN,69.7,56.0,60.7,56.9,5.7,7.3,3,178,3,0,0,Job,5.83,Tier 2
STU00062,Amit Desai,23,Male,2022,DevOps,51.3,20.0,30.4,27.0,3.3,3.7,2,20,1,0,0,No Job,0.0,Not Placed
STU00063,Rajni Dutta,21,Female,2024,Data Science,71.3,64.9,60.0,58.0,5.9,7.3,3,148,2,1,1,Job,7.73,Tier 2
STU00064,Jatin Reddy,24,Male,2023,Cybersecurity,69.7,57.9,58.1,58.9,5.6,6.7,4,156,2,1,0,Job,7.58,Tier 2
STU00065,Manisha Khanna,22,Female,2024,Cybersecurity,58.6,40.9,29.2,30.7,4.2,4.8,1,47,0,0,0,No Job,0.0,Not Placed
STU00066,Pankaj Kumar,27,Female,2023,MERN,78.5,84.5,81.0,86.7,8.5,7.0,1,175,1,0,0,Job,8.14,Tier 1
STU00067,Kajal Shah,25,Female,2023,Figma Designer,54.7,37.3,30.1,23.0,4.2,4.0,1,57,2,0,0,Job,3.2,Tier 3
STU00068,Kunal Srivastava,22,Male,2024,QA,72.0,61.7,56.4,69.7,4.9,6.7,2,108,0,0,0,Job,5.49,Tier 3
STU00069,Sanjay Mishra,24,Male,2022,Cybersecurity,71.1,56.3,50.8,44.6,6.2,5.5,1,110,2,0,0,No Job,0.0,Not Placed
STU00070,Jyoti Agarwal,20,Male,2022,Cybersecurity,59.2,42.0,35.0,54.4,5.5,6.5,0,72,2,0,0,No Job,0.0,Not Placed
STU00071,Tarun Shukla,21,Male,2022,MERN,69.1,56.5,42.3,56.4,5.0,5.0,2,82,1,1,0,Job,6.19,Tier 2
STU00072,Manish Garg,25,Female,2024,Cybersecurity,66.4,55.1,56.1,62.0,5.9,5.6,3,181,2,1,0,Job,7.38,Tier 2
STU00073,Aditya Agarwal,22,Male,2023,Data Science,90.2,100.0,89.4,93.8,8.0,9.7,0,191,2,0,0,Job,10.68,Tier 1
STU00074,Akshay Mehta,25,Male,2023,Data Science,52.4,32.5,26.8,33.1,2.6,2.8,0,56,4,0,2,No Job,0.0,Not Placed
STU00075,Anushka Sinha,27,Male,2024,Figma Designer,40.0,20.0,20.0,15.0,1.2,4.3,1,0,1,0,1,No Job,0.0,Not Placed
STU00076,Farhan Desai,23,Male,2023,Cybersecurity,51.5,38.8,27.0,28.0,3.3,2.2,0,39,1,0,1,No Job,0.0,Not Placed
STU00077,Ruchi Ghosh,19,Male,2024,DevOps,61.7,47.9,55.3,54.9,6.3,4.4,3,148,1,1,0,Internship,1.34,Tier 3
STU00078,Shreya Trivedi,23,Male,2023,MERN,69.0,70.9,69.2,58.3,5.7,4.9,2,143,2,0,0,Job,6.3,Tier 2
STU00079,Rohit Rastogi,24,Female,2024,Cybersecurity,66.3,53.0,50.5,68.8,4.4,3.8,0,52,0,1,0,No Job,0.0,Not Placed
STU00080,Vaibhav Rastogi,20,Male,2022,Data Science,58.1,58.8,64.7,46.0,4.6,4.4,2,106,0,0,1,No Job,0.0,Not Placed
STU00081,Akash Pillai,26,Female,2022,Data Science,84.1,87.1,81.9,67.2,7.4,6.3,1,167,0,0,0,Job,8.32,Tier 1
STU00082,Uday Khanna,20,Male,2023,Data Science,55.5,63.6,50.1,57.7,5.4,4.6,1,46,1,0,0,No Job,0.0,Not Placed
STU00083,Vaibhav Yadav,27,Female,2023,DevOps,84.0,83.1,77.1,84.2,7.5,5.0,1,193,2,0,0,Job,8.77,Tier 1
STU00084,Arjun Varma,20,Male,2023,Cybersecurity,63.8,66.1,41.7,65.3,5.7,7.4,0,98,1,1,0,Job,7.4,Tier 2
STU00085,Geeta Sharma,21,Female,2023,Data Science,62.8,72.2,77.1,69.8,8.4,6.2,1,159,1,0,0,Job,9.02,Tier 1
STU00086,Ankit Rastogi,26,Female,2022,Cybersecurity,61.2,42.7,36.5,38.4,3.7,4.4,0,40,2,0,1,No Job,0.0,Not Placed
STU00087,Rajesh Kaur,24,Male,2023,MERN,62.7,57.3,49.1,47.7,4.3,4.3,2,119,1,0,3,No Job,0.0,Not Placed
STU00088,Gaurav Arora,19,Male,2023,Cybersecurity,53.7,37.6,20.0,37.0,2.2,3.7,2,72,2,0,1,No Job,0.0,Not Placed
STU00089,Komal Yadav,22,Male,2022,Figma Designer,75.9,62.4,77.3,53.4,4.8,5.7,2,118,4,1,2,No Job,0.0,Not Placed
STU00090,Pankaj Chauhan,23,Female,2023,Cybersecurity,62.6,65.8,50.2,55.3,4.3,6.1,1,86,2,1,1,Job,7.46,Tier 2
STU00091,Gaurav Nair,21,Female,2023,Figma Designer,74.2,88.8,88.7,89.3,6.2,5.6,0,129,3,1,0,Internship,1.1,Tier 3
STU00092,Vikas Verma,19,Male,2023,Figma Designer,71.7,68.0,57.4,66.1,5.0,6.9,2,103,0,0,1,Job,4.59,Tier 3
STU00093,Sandeep Pillai,21,Male,2022,DevOps,53.7,39.6,30.6,28.0,2.7,1.4,0,21,1,0,1,No Job,0.0,Not Placed
STU00094,Pankaj Dubey,27,Female,2024,Cybersecurity,81.1,70.6,62.9,71.6,7.2,6.4,0,113,4,0,0,Job,7.34,Tier 2
STU00095,Sneha Malhotra,20,Female,2023,QA,65.8,41.6,37.1,45.2,4.2,4.5,0,36,1,0,0,No Job,0.0,Not Placed
STU00096,Vaibhav Reddy,19,Female,2022,MERN,45.3,29.3,35.8,23.9,4.1,3.3,3,54,0,0,0,No Job,0.0,Not Placed
STU00097,Aarav Mishra,25,Male,2023,MERN,77.6,73.1,62.3,63.2,6.3,5.8,3,115,0,1,0,Job,7.33,Tier 2
STU00098,Pankaj Gandhi,25,Female,2024,Figma Designer,55.8,50.2,34.8,30.1,3.1,4.6,1,61,4,0,1,No Job,0.0,Not Placed
STU00099,Varun Bansal,23,Female,2023,Cybersecurity,64.8,54.1,34.8,59.6,4.1,3.8,1,44,1,0,0,No Job,0.0,Not Placed
STU00100,Vaibhav Chauhan,20,Male,2024,Data Science,90.0,73.3,76.3,74.6,7.1,4.2,4,196,1,0,0,Job,7.53,Tier 2
STU00101,Rajni Mishra,19,Male,2022,DevOps,70.3,59.0,51.9,65.2,4.0,5.3,2,137,1,1,0,Job,6.82,Tier 2
STU00102,Anil Shukla,23,Female,2024,QA,66.5,66.9,66.8,59.4,4.1,7.5,2,163,2,0,0,Internship,1.89,Tier 2
STU00103,Swati Trivedi,22,Male,2023,DevOps,43.1,37.1,22.5,28.0,3.5,2.9,1,26,3,0,1,No Job,0.0,Not Placed
STU00104,Kunal Kumar,27,Male,2022,Cybersecurity,58.5,62.7,60.2,61.3,5.6,5.4,0,73,1,0,0,Job,7.08,Tier 2
STU00105,Ruchi Rastogi,23,Female,2023,QA,70.9,63.2,42.3,50.2,1.5,4.5,0,60,3,0,1,No Job,0.0,Not Placed
STU00106,Surbhi Kumar,20,Female,2024,Cybersecurity,69.6,40.2,54.1,59.2,2.9,4.3,0,64,1,0,1,No Job,0.0,Not Placed
STU00107,Varun Dutta,22,Female,2024,DevOps,75.2,62.7,58.7,61.6,4.6,4.2,4,185,1,1,3,Job,7.06,Tier 2
STU00108,Karishma Arora,27,Male,2023,QA,63.3,62.9,44.8,59.2,5.5,6.0,4,167,2,0,0,Job,4.82,Tier 3
STU00109,Aditya Shukla,26,Female,2022,Cybersecurity,55.1,35.5,26.1,30.2,2.8,4.0,0,15,1,0,0,No Job,0.0,Not Placed
STU00110,Yogesh Gupta,21,Male,2023,Cybersecurity,76.4,66.2,54.4,66.4,7.2,5.9,0,109,1,0,0,Internship,2.15,Tier 3
